kode_produk,nama_produk,kategori,harga,stok
PRD0098,Pasta Gigi,Perlengkapan Rumah,280886,98
PRD0099,Sabun Mandi,Perlengkapan Rumah,433677,59
PRD0100,Shampoo,Perlengkapan Rumah,131767,118
PRD0101,Masker,Kesehatan,183487,40
PRD0102,Hand Sanitizer,Kesehatan,146519,49
PRD0103,Vitamin C,Kesehatan,493473,186
PRD0104,Minyak Kayu Putih,Kesehatan,403337,29
PRD0105,Plester,Kesehatan,18891,170
PRD0106,Perban,Kesehatan,221802,158
PRD0107,Obat Flu,Kesehatan,403632,5
PRD0108,Obat Batuk,Kesehatan,128178,53
PRD0109,Minuman Herbal,Kesehatan,37279,26
PRD0110,Suplemen,Kesehatan,313397,9
PRD0111,Multivitamin,Kesehatan,236063,154
PRD0112,Minyak Ikan,Kesehatan,354333,181
PRD0113,Salep Luka,Kesehatan,459290,13
PRD0114,Obat Nyamuk,Kesehatan,130311,190
PRD0115,Lotion,Kesehatan,25192,103
PRD0116,Tabir Surya,Kesehatan,232142,60
PRD0117,Vitamin E,Kesehatan,284989,56
PRD0118,Probiotik,Kesehatan,397515,199
PRD0119,Antasida,Kesehatan,31592,36
PRD0120,Parasetamol,Kesehatan,266186,75
PRD0121,Bola Basket,Olahraga,124768,188
PRD0122,Bola Voli,Olahraga,304047,82
PRD0123,Raket Badminton,Olahraga,304763,154
PRD0124,Kok Bulu Tangkis,Olahraga,407032,173
PRD0125,Matras Yoga,Olahraga,431068,83
PRD0126,Dumbbell,Olahraga,126205,78
PRD0127,Skipping,Olahraga,461411,37
PRD0128,Botol Minum,Olahraga,348141,134
PRD0129,Hand Grip,Olahraga,117890,106
PRD0130,Resistance Band,Olahraga,159549,71
PRD0131,Peluit,Olahraga,33959,143
PRD0132,Stopwatch,Olahraga,499297,152
PRD0133,Kaos Olahraga,Olahraga,463223,189
PRD0134,Handuk,Olahraga,479929,45
PRD0135,Sepatu Lari,Olahraga,330200,174
PRD0136,Tas Gym,Olahraga,225976,143
PRD0137,Topi Olahraga,Olahraga,261848,13
PRD0138,Gelang Keringat,Olahraga,182572,165
PRD0139,Sarung Tangan,Olahraga,353976,98
PRD0140,Bola Sepak,Olahraga,413987,135
PRD0141,Boneka,Mainan,169108,179
PRD0142,Mobil Mobilan,Mainan,220274,105
PRD0143,Puzzle,Mainan,80233,77
PRD0144,LEGO,Mainan,199373,48
PRD0145,Rubik,Mainan,397531,138
PRD0146,Yo Yo,Mainan,250260,62
PRD0147,Lato Lato,Mainan,447299,58
PRD0148,Ketapel,Mainan,159672,182
PRD0149,Kapal Kapalan,Mainan,77681,119
PRD0150,Layang Layang,Mainan,481587,15
PRD0151,Kelereng,Mainan,296852,106
PRD0152,Ular Tangga,Mainan,220370,143
PRD0153,Monopoli,Mainan,279868,35
PRD0154,Uno Cards,Mainan,205643,63
PRD0155,Katapel,Mainan,135691,53
PRD0156,Tamiya,Mainan,175152,166
PRD0157,Beyblade,Mainan,43455,116
PRD0158,Slime,Mainan,446141,95
PRD0159,Playdoh,Mainan,50477,138
PRD0160,Balon,Mainan,381891,49
PRD0161,Kabel USB,Elektronik,29020,69
PRD0162,Charger HP,Elektronik,199744,173
PRD0163,Power Bank,Elektronik,319178,155
PRD0164,Mouse Wireless,Elektronik,22734,19
PRD0165,Keyboard,Elektronik,100651,195
PRD0166,Headset,Elektronik,310063,186
PRD0167,Speaker Bluetooth,Elektronik,354033,144
PRD0168,Kipas Angin Mini,Elektronik,115779,123
PRD0169,Lampu LED,Elektronik,111518,86
PRD0170,Adaptor,Elektronik,160957,4
PRD0171,Kabel HDMI,Elektronik,113048,49
PRD0172,Card Reader,Elektronik,390746,31
PRD0173,USB Hub,Elektronik,393579,194
PRD0174,Mouse Pad,Elektronik,253092,63
PRD0175,Webcam,Elektronik,366708,155
PRD0176,Microphone,Elektronik,370977,53
PRD0177,Remote TV,Elektronik,209949,62
PRD0178,Baterai AA,Elektronik,291448,83
PRD0179,Baterai AAA,Elektronik,408592,73
PRD0180,Charger Mobil,Elektronik,201576,120
PRD0181,Mie Instan,Makanan,281786,167
PRD0182,Biskuit,Makanan,190355,79
PRD0183,Keripik Kentang,Makanan,139133,93
PRD0184,Cokelat Batang,Makanan,270863,128
PRD0185,Permen,Makanan,246320,26
PRD0186,Kacang Goreng,Makanan,422907,185
PRD0187,Roti Tawar,Makanan,248148,195
PRD0188,Sereal,Makanan,442260,82
PRD0189,Abon Sapi,Makanan,481372,53
PRD0190,Dendeng,Makanan,196356,81
PRD0191,Kerupuk Udang,Makanan,219018,12
PRD0192,Kue Kering,Makanan,296924,57
PRD0193,Selai Kacang,Makanan,390629,38
PRD0194,Madu,Makanan,10503,67
PRD0195,Tepung Terigu,Makanan,292094,150
PRD0196,Gula Pasir,Makanan,305637,185
PRD0197,Kopi Bubuk,Makanan,220931,76
PRD0198,Teh Celup,Makanan,81907,51
PRD0199,Susu Bubuk,Makanan,174944,59
PRD0200, Agar-agar,Makanan,201145,146
PRD0201,Air Mineral,Minuman,438922,63
PRD0202,Jus Jeruk,Minuman,263777,141
PRD0203,Soft Drink,Minuman,345203,176
PRD0204,Teh Botol,Minuman,178980,66
PRD0205,Kopi Instan,Minuman,402220,126
PRD0206,Susu UHT,Minuman,381352,165
PRD0207,Yogurt,Minuman,389760,126
PRD0208,Minuman Isotonik,Minuman,243607,44
PRD0209,Sirup,Minuman,386183,91
PRD0210,Soda,Minuman,90743,36
PRD0211,Jus Mangga,Minuman,379651,140
PRD0212,Jus Apel,Minuman,258018,48
PRD0213,Minuman Berenergi,Minuman,482719,139
PRD0214,Air Kelapa,Minuman,338492,16
PRD0215,Susu Kedelai,Minuman,276697,9
PRD0216,Jahe Instan,Minuman,441913,20
PRD0217,Cincau,Minuman,497550,172
PRD0218,Es Krim,Minuman,27435,196
PRD0219,Milkshake,Minuman,5346,106
PRD0220,Kefir,Minuman,74085,162
PRD0221,Pensil 2B,Alat Tulis,123337,18
PRD0222,Bolpoin Hitam,Alat Tulis,372760,39
PRD0223,Penghapus,Alat Tulis,6792,56
PRD0224,Penggaris,Alat Tulis,267149,117
PRD0225,Buku Tulis,Alat Tulis,197664,16
PRD0226,Spidol,Alat Tulis,325923,164
PRD0227,Stabilo,Alat Tulis,351571,158
PRD0228,Lem Kertas,Alat Tulis,480544,124
PRD0229,Gunting,Alat Tulis,347654,125
PRD0230,Cutter,Alat Tulis,10247,2
PRD0231,Amplop,Alat Tulis,281032,142
PRD0232,Kertas HVS,Alat Tulis,217659,4
PRD0233,Map Plastik,Alat Tulis,10769,136
PRD0234,Binder,Alat Tulis,380636,71
PRD0235,Klip Kertas,Alat Tulis,282881,74
PRD0236,Isi Staples,Alat Tulis,10987,129
PRD0237,Tipe-X,Alat Tulis,428328,179
PRD0238,Pensil Warna,Alat Tulis,355387,111
PRD0239,Krayon,Alat Tulis,424664,46
PRD0240,Cat Air,Alat Tulis,58107,25
PRD0241,Sapu,Perlengkapan Rumah,276928,39
PRD0242,Pel,Perlengkapan Rumah,128337,50
PRD0243,Ember,Perlengkapan Rumah,326943,135
PRD0244,Lap Mikrofiber,Perlengkapan Rumah,134339,91
PRD0245,Gelas Kaca,Perlengkapan Rumah,142155,102
PRD0246,Piring,Perlengkapan Rumah,43428,96
PRD0247,Mangkok,Perlengkapan Rumah,214875,118
PRD0248,Sendok Set,Perlengkapan Rumah,298223,63
PRD0249,Garpu,Perlengkapan Rumah,367552,58
PRD0250,Pisau Dapur,Perlengkapan Rumah,159273,176
PRD0251,Talenan,Perlengkapan Rumah,436143,21
PRD0252,Panci,Perlengkapan Rumah,344745,167
PRD0253,Wajan,Perlengkapan Rumah,400241,9
PRD0254,Stoples,Perlengkapan Rumah,51021,104
PRD0255,Rak Piring,Perlengkapan Rumah,200843,97
PRD0256,Serbet,Perlengkapan Rumah,291774,122
PRD0257,Sikat Gigi,Perlengkapan Rumah,31420,164
PRD0258,Pasta Gigi,Perlengkapan Rumah,6954,180
PRD0259,Sabun Mandi,Perlengkapan Rumah,91854,22
PRD0260,Shampoo,Perlengkapan Rumah,264069,112
PRD0261,Masker,Kesehatan,340117,85
PRD0262,Hand Sanitizer,Kesehatan,298671,25
PRD0263,Vitamin C,Kesehatan,471128,136
PRD0264,Minyak Kayu Putih,Kesehatan,483900,11
PRD0265,Plester,Kesehatan,122463,55
PRD0266,Perban,Kesehatan,474526,178
PRD0267,Obat Flu,Kesehatan,467334,146
PRD0268,Obat Batuk,Kesehatan,251299,70
PRD0269,Minuman Herbal,Kesehatan,26411,20
PRD0270,Suplemen,Kesehatan,360837,72
PRD0271,Multivitamin,Kesehatan,473498,140
PRD0272,Minyak Ikan,Kesehatan,297441,169
PRD0273,Salep Luka,Kesehatan,19250,46
PRD0274,Obat Nyamuk,Kesehatan,488941,81
PRD0275,Lotion,Kesehatan,10209,54
PRD0276,Tabir Surya,Kesehatan,309775,37
PRD0277,Vitamin E,Kesehatan,396397,183
PRD0278,Probiotik,Kesehatan,432389,102
PRD0279,Antasida,Kesehatan,488997,20
PRD0280,Parasetamol,Kesehatan,158907,42
PRD0281,Bola Basket,Olahraga,297676,62
PRD0282,Bola Voli,Olahraga,299111,100
PRD0283,Raket Badminton,Olahraga,356961,139
PRD0284,Kok Bulu Tangkis,Olahraga,175921,99
PRD0285,Matras Yoga,Olahraga,398156,190
PRD0286,Dumbbell,Olahraga,75374,177
PRD0287,Skipping,Olahraga,381670,21
PRD0288,Botol Minum,Olahraga,264559,191
PRD0289,Hand Grip,Olahraga,183329,14
PRD0290,Resistance Band,Olahraga,53215,112
PRD0291,Peluit,Olahraga,123710,20
PRD0292,Stopwatch,Olahraga,180568,155
PRD0293,Kaos Olahraga,Olahraga,405180,158
PRD0294,Handuk,Olahraga,314270,102
PRD0295,Sepatu Lari,Olahraga,407565,84
PRD0296,Tas Gym,Olahraga,17532,163
PRD0297,Topi Olahraga,Olahraga,145302,116
PRD0298,Gelang Keringat,Olahraga,259217,59
PRD0299,Sarung Tangan,Olahraga,188547,142
PRD0300,Bola Sepak,Olahraga,495429,97
PRD0301,Boneka,Mainan,228412,48
PRD0302,Mobil Mobilan,Mainan,358355,150
PRD0303,Puzzle,Mainan,348382,98
PRD0304,LEGO,Mainan,46928,198
PRD0305,Rubik,Mainan,326332,76
PRD0306,Yo Yo,Mainan,420410,64
PRD0307,Lato Lato,Mainan,375874,19
PRD0308,Ketapel,Mainan,45011,69
PRD0309,Kapal Kapalan,Mainan,82856,98
PRD0310,Layang Layang,Mainan,375123,163
PRD0311,Kelereng,Mainan,82885,190
PRD0312,Ular Tangga,Mainan,206274,82
PRD0313,Monopoli,Mainan,191110,28
PRD0314,Uno Cards,Mainan,49983,2
PRD0315,Katapel,Mainan,496382,79
PRD0316,Tamiya,Mainan,235169,93
PRD0317,Beyblade,Mainan,401164,70
PRD0318,Slime,Mainan,55598,34
PRD0319,Playdoh,Mainan,47768,48
PRD0320,Balon,Mainan,227957,115
PRD0321,Kabel USB,Elektronik,294020,143
PRD0322,Charger HP,Elektronik,270666,105
PRD0323,Power Bank,Elektronik,56155,7
PRD0324,Mouse Wireless,Elektronik,48986,91
PRD0325,Keyboard,Elektronik,292570,24
PRD0326,Headset,Elektronik,314960,154
PRD0327,Speaker Bluetooth,Elektronik,413271,84
PRD0328,Kipas Angin Mini,Elektronik,454837,99
PRD0329,Lampu LED,Elektronik,8470,75
PRD0330,Adaptor,Elektronik,218955,100
PRD0331,Kabel HDMI,Elektronik,410509,22
PRD0332,Card Reader,Elektronik,382026,144
PRD0333,USB Hub,Elektronik,476589,63
PRD0334,Mouse Pad,Elektronik,301871,134
PRD0335,Webcam,Elektronik,90910,176
PRD0336,Microphone,Elektronik,201613,44
PRD0337,Remote TV,Elektronik,74792,69
PRD0338,Baterai AA,Elektronik,159879,69
PRD0339,Baterai AAA,Elektronik,260538,38
PRD0340,Charger Mobil,Elektronik,35170,43
PRD0341,Mie Instan,Makanan,229895,71
PRD0342,Biskuit,Makanan,222778,77
PRD0343,Keripik Kentang,Makanan,255876,20
PRD0344,Cokelat Batang,Makanan,191333,65
PRD0345,Permen,Makanan,497044,64
PRD0346,Kacang Goreng,Makanan,379958,161
PRD0347,Roti Tawar,Makanan,261943,153
PRD0348,Sereal,Makanan,325312,51
PRD0349,Abon Sapi,Makanan,242051,28
PRD0350,Dendeng,Makanan,73035,78
PRD0351,Kerupuk Udang,Makanan,5548,102
PRD0352,Kue Kering,Makanan,176177,159
PRD0353,Selai Kacang,Makanan,201171,85
PRD0354,Madu,Makanan,232803,86
PRD0355,Tepung Terigu,Makanan,227766,167
PRD0356,Gula Pasir,Makanan,313633,35
PRD0357,Kopi Bubuk,Makanan,159514,83
PRD0358,Teh Celup,Makanan,318256,178
PRD0359,Susu Bubuk,Makanan,107304,123
PRD0360, Agar-agar,Makanan,166722,46
PRD0361,Air Mineral,Minuman,210792,82
PRD0362,Jus Jeruk,Minuman,154802,189
PRD0363,Soft Drink,Minuman,366358,163
PRD0364,Teh Botol,Minuman,259429,148
PRD0365,Kopi Instan,Minuman,411979,63
PRD0366,Susu UHT,Minuman,172858,97
PRD0367,Yogurt,Minuman,148958,101
PRD0368,Minuman Isotonik,Minuman,193373,30
PRD0369,Sirup,Minuman,490671,145
PRD0370,Soda,Minuman,106752,152
PRD0371,Jus Mangga,Minuman,288066,47
PRD0372,Jus Apel,Minuman,359413,197
PRD0373,Minuman Berenergi,Minuman,290410,7
PRD0374,Air Kelapa,Minuman,383269,119
PRD0375,Susu Kedelai,Minuman,496390,182
PRD0376,Jahe Instan,Minuman,111916,113
PRD0377,Cincau,Minuman,420216,75
PRD0378,Es Krim,Minuman,437831,178
PRD0379,Milkshake,Minuman,38259,105
PRD0380,Kefir,Minuman,354834,128
PRD0381,Pensil 2B,Alat Tulis,74969,163
PRD0382,Bolpoin Hitam,Alat Tulis,160771,62
PRD0383,Penghapus,Alat Tulis,134477,169
PRD0384,Penggaris,Alat Tulis,82815,184
PRD0385,Buku Tulis,Alat Tulis,223840,97
PRD0386,Spidol,Alat Tulis,40779,115
PRD0387,Stabilo,Alat Tulis,315489,123
PRD0388,Lem Kertas,Alat Tulis,307263,103
PRD0389,Gunting,Alat Tulis,282162,130
PRD0390,Cutter,Alat Tulis,486177,178
PRD0391,Amplop,Alat Tulis,221310,140
PRD0392,Kertas HVS,Alat Tulis,21275,93
PRD0393,Map Plastik,Alat Tulis,369858,138
PRD0394,Binder,Alat Tulis,313332,164
PRD0395,Klip Kertas,Alat Tulis,481409,22
PRD0396,Isi Staples,Alat Tulis,59341,197
PRD0397,Tipe-X,Alat Tulis,132144,169
PRD0398,Pensil Warna,Alat Tulis,350491,91
PRD0399,Krayon,Alat Tulis,89209,166
PRD0400,Cat Air,Alat Tulis,323219,12
PRD0401,Sapu,Perlengkapan Rumah,297289,166
PRD0402,Pel,Perlengkapan Rumah,357190,166
PRD0403,Ember,Perlengkapan Rumah,211514,193
PRD0404,Lap Mikrofiber,Perlengkapan Rumah,175852,111
PRD0405,Gelas Kaca,Perlengkapan Rumah,57545,3
PRD0406,Piring,Perlengkapan Rumah,53698,67
PRD0407,Mangkok,Perlengkapan Rumah,118392,131
PRD0408,Sendok Set,Perlengkapan Rumah,393566,133
PRD0409,Garpu,Perlengkapan Rumah,294549,149
PRD0410,Pisau Dapur,Perlengkapan Rumah,362534,148
PRD0411,Talenan,Perlengkapan Rumah,117884,115
PRD0412,Panci,Perlengkapan Rumah,198146,101
PRD0413,Wajan,Perlengkapan Rumah,244778,198
PRD0414,Stoples,Perlengkapan Rumah,358282,151
PRD0415,Rak Piring,Perlengkapan Rumah,363987,129
PRD0416,Serbet,Perlengkapan Rumah,81033,89
PRD0417,Sikat Gigi,Perlengkapan Rumah,14877,124
PRD0418,Pasta Gigi,Perlengkapan Rumah,56813,76
PRD0419,Sabun Mandi,Perlengkapan Rumah,220090,22
PRD0420,Shampoo,Perlengkapan Rumah,62853,187
PRD0421,Masker,Kesehatan,76278,90
PRD0422,Hand Sanitizer,Kesehatan,165520,88
PRD0423,Vitamin C,Kesehatan,240725,53
PRD0424,Minyak Kayu Putih,Kesehatan,275214,124
PRD0425,Plester,Kesehatan,184609,122
PRD0426,Perban,Kesehatan,53182,113
PRD0427,Obat Flu,Kesehatan,380532,179
PRD0428,Obat Batuk,Kesehatan,239212,82
PRD0429,Minuman Herbal,Kesehatan,37218,77
PRD0430,Suplemen,Kesehatan,25426,182
PRD0431,Multivitamin,Kesehatan,62337,6
PRD0432,Minyak Ikan,Kesehatan,447214,88
PRD0433,Salep Luka,Kesehatan,341722,28
PRD0434,Obat Nyamuk,Kesehatan,357016,43
PRD0435,Lotion,Kesehatan,489547,190
PRD0436,Tabir Surya,Kesehatan,129880,133
PRD0437,Vitamin E,Kesehatan,93463,142
PRD0438,Probiotik,Kesehatan,85957,85
PRD0439,Antasida,Kesehatan,295522,110
PRD0440,Parasetamol,Kesehatan,244249,60
PRD0441,Bola Basket,Olahraga,420253,104
PRD0442,Bola Voli,Olahraga,332175,48
PRD0443,Raket Badminton,Olahraga,99720,164
PRD0444,Kok Bulu Tangkis,Olahraga,346618,111
PRD0445,Matras Yoga,Olahraga,209399,8
PRD0446,Dumbbell,Olahraga,388603,158
PRD0447,Skipping,Olahraga,464997,51
PRD0448,Botol Minum,Olahraga,237706,152
PRD0449,Hand Grip,Olahraga,227209,100
PRD0450,Resistance Band,Olahraga,4333,181
PRD0451,Peluit,Olahraga,114615,53
PRD0452,Stopwatch,Olahraga,147932,193
PRD0453,Kaos Olahraga,Olahraga,370972,17
PRD0454,Handuk,Olahraga,304696,27
PRD0455,Sepatu Lari,Olahraga,421169,138
PRD0456,Tas Gym,Olahraga,100020,94
PRD0457,Topi Olahraga,Olahraga,172909,51
PRD0458,Gelang Keringat,Olahraga,241888,30
PRD0459,Sarung Tangan,Olahraga,139548,172
PRD0460,Bola Sepak,Olahraga,454269,126
PRD0461,Boneka,Mainan,278674,164
PRD0462,Mobil Mobilan,Mainan,166314,153
PRD0463,Puzzle,Mainan,205758,157
PRD0464,LEGO,Mainan,207806,151
PRD0465,Rubik,Mainan,61890,90
PRD0466,Yo Yo,Mainan,186541,118
PRD0467,Lato Lato,Mainan,325675,45
PRD0468,Ketapel,Mainan,428633,173
PRD0469,Kapal Kapalan,Mainan,372141,77
PRD0470,Layang Layang,Mainan,483654,158
PRD0471,Kelereng,Mainan,311418,22
PRD0472,Ular Tangga,Mainan,354379,35
PRD0473,Monopoli,Mainan,166199,31
PRD0474,Uno Cards,Mainan,127080,79
PRD0475,Katapel,Mainan,63314,47
PRD0476,Tamiya,Mainan,197719,178
PRD0477,Beyblade,Mainan,76112,131
PRD0478,Slime,Mainan,205666,108
PRD0479,Playdoh,Mainan,314698,36
PRD0480,Balon,Mainan,303363,99
PRD0481,Kabel USB,Elektronik,223794,48
PRD0482,Charger HP,Elektronik,257155,163
PRD0483,Power Bank,Elektronik,283741,178
PRD0484,Mouse Wireless,Elektronik,483905,166
PRD0485,Keyboard,Elektronik,489952,45
PRD0486,Headset,Elektronik,292934,43
PRD0487,Speaker Bluetooth,Elektronik,258713,74
PRD0488,Kipas Angin Mini,Elektronik,75555,48
PRD0489,Lampu LED,Elektronik,166930,116
PRD0490,Adaptor,Elektronik,326749,14
PRD0491,Kabel HDMI,Elektronik,455782,92
PRD0492,Card Reader,Elektronik,7024,125
PRD0493,USB Hub,Elektronik,73583,50
PRD0494,Mouse Pad,Elektronik,429407,99
PRD0495,Webcam,Elektronik,296430,130
PRD0496,Microphone,Elektronik,344396,127
PRD0497,Remote TV,Elektronik,216504,176
PRD0498,Baterai AA,Elektronik,259805,107
PRD0499,Baterai AAA,Elektronik,374319,114
PRD0500,Charger Mobil,Elektronik,258219,43
PRD0501,Mie Instan,Makanan,45343,145
PRD0502,Biskuit,Makanan,18179,195
PRD0503,Keripik Kentang,Makanan,117620,75
PRD0504,Cokelat Batang,Makanan,19141,71
PRD0505,Permen,Makanan,119882,138
PRD0506,Kacang Goreng,Makanan,153346,44
PRD0507,Roti Tawar,Makanan,411332,118
PRD0508,Sereal,Makanan,298563,191
PRD0509,Abon Sapi,Makanan,407037,197
PRD0510,Dendeng,Makanan,261686,141
PRD0511,Kerupuk Udang,Makanan,269809,29
PRD0512,Kue Kering,Makanan,302267,30
PRD0513,Selai Kacang,Makanan,142450,199
PRD0514,Madu,Makanan,286744,94
PRD0515,Tepung Terigu,Makanan,286186,194
PRD0516,Gula Pasir,Makanan,23815,195
PRD0517,Kopi Bubuk,Makanan,378952,113
PRD0518,Teh Celup,Makanan,288446,56
PRD0519,Susu Bubuk,Makanan,224903,27
PRD0520, Agar-agar,Makanan,387870,168
PRD0521,Air Mineral,Minuman,395921,64
PRD0522,Jus Jeruk,Minuman,158085,9
PRD0523,Soft Drink,Minuman,237789,68
PRD0524,Teh Botol,Minuman,184754,23
PRD0525,Kopi Instan,Minuman,232199,31
PRD0526,Susu UHT,Minuman,408654,61
PRD0527,Yogurt,Minuman,112036,189
PRD0528,Minuman Isotonik,Minuman,310241,177
PRD0529,Sirup,Minuman,185831,182
PRD0530,Soda,Minuman,321952,162
PRD0531,Jus Mangga,Minuman,226482,43
PRD0532,Jus Apel,Minuman,325040,36
PRD0533,Minuman Berenergi,Minuman,413487,53
PRD0534,Air Kelapa,Minuman,428523,53
PRD0535,Susu Kedelai,Minuman,424282,16
PRD0536,Jahe Instan,Minuman,300883,90
PRD0537,Cincau,Minuman,281068,72
PRD0538,Es Krim,Minuman,314925,138
PRD0539,Milkshake,Minuman,90278,83
PRD0540,Kefir,Minuman,371126,75
PRD0541,Pensil 2B,Alat Tulis,153693,147
PRD0542,Bolpoin Hitam,Alat Tulis,142164,132
PRD0543,Penghapus,Alat Tulis,473940,174
PRD0544,Penggaris,Alat Tulis,429389,25
PRD0545,Buku Tulis,Alat Tulis,73087,193
PRD0546,Spidol,Alat Tulis,413928,106
PRD0547,Stabilo,Alat Tulis,483699,16
PRD0548,Lem Kertas,Alat Tulis,147397,168
PRD0549,Gunting,Alat Tulis,68525,180
PRD0550,Cutter,Alat Tulis,456074,34
PRD0551,Amplop,Alat Tulis,132902,38
PRD0552,Kertas HVS,Alat Tulis,374975,83
PRD0553,Map Plastik,Alat Tulis,436363,64
PRD0554,Binder,Alat Tulis,401231,174
PRD0555,Klip Kertas,Alat Tulis,207888,126
PRD0556,Isi Staples,Alat Tulis,76538,148
PRD0557,Tipe-X,Alat Tulis,333560,69
PRD0558,Pensil Warna,Alat Tulis,331154,107
PRD0559,Krayon,Alat Tulis,198698,116
PRD0560,Cat Air,Alat Tulis,41592,163
PRD0561,Sapu,Perlengkapan Rumah,418598,197
PRD0562,Pel,Perlengkapan Rumah,50808,104
PRD0563,Ember,Perlengkapan Rumah,272329,192
PRD0564,Lap Mikrofiber,Perlengkapan Rumah,147870,178
PRD0565,Gelas Kaca,Perlengkapan Rumah,492909,95
